origin_country,destination_country,total_migrants
Côte d'Ivoire,Estonia,8.0
Côte d'Ivoire,France,135097.7901148796
Côte d'Ivoire,Greece,161.0
Côte d'Ivoire,Hungary,73.0
Côte d'Ivoire,Italy,31705.0
Côte d'Ivoire,LUX,553.0
Côte d'Ivoire,Latvia,9.0
Côte d'Ivoire,Norway,341.0
Côte d'Ivoire,Poland,48.0
Côte d'Ivoire,Portugal,170.0
Côte d'Ivoire,Slovakia,12.0
Côte d'Ivoire,Slovenia,2.0
Côte d'Ivoire,Spain,5060.0
Côte d'Ivoire,Sweden,1090.0
Côte d'Ivoire,Switzerland,3301.779996870498
Côte d'Ivoire,Turkey,885.0
Côte d'Ivoire,United States,28870.0
Democratic Republic of the Congo,Australia,5576.0
Democratic Republic of the Congo,Bulgaria,11.0
Democratic Republic of the Congo,Canada,36875.0
Democratic Republic of the Congo,Czech Republic,98.0
Democratic Republic of the Congo,Denmark,1523.0
Democratic Republic of the Congo,Estonia,15.0
Democratic Republic of the Congo,France,97327.26862370968
Democratic Republic of the Congo,Greece,1723.0
Democratic Republic of the Congo,Hungary,76.0
Democratic Republic of the Congo,Italy,6239.0
Democratic Republic of the Congo,LUX,951.0
Democratic Republic of the Congo,Latvia,4.0
Democratic Republic of the Congo,New Zealand,90.0
Democratic Republic of the Congo,Norway,3385.0
Democratic Republic of the Congo,Poland,76.0
Democratic Republic of the Congo,Portugal,2070.0
Democratic Republic of the Congo,Slovakia,10.0
Democratic Republic of the Congo,Slovenia,3.0
Democratic Republic of the Congo,Spain,1391.0
Democratic Republic of the Congo,Sweden,4810.0
Democratic Republic of the Congo,Switzerland,6227.642995863537
Democratic Republic of the Congo,Turkey,1216.0
Democratic Republic of the Congo,United States,49482.0
Dominican Republic,Australia,181.0
Dominican Republic,Bulgaria,24.0
Dominican Republic,Canada,13970.0
Dominican Republic,Colombia,682.0
Dominican Republic,Czech Republic,75.0
Dominican Republic,Denmark,161.0
Dominican Republic,Estonia,7.0
Dominican Republic,France,5753.299934864044
Dominican Republic,Greece,646.0
Dominican Republic,Hungary,50.0
Dominican Republic,Italy,44964.0
Dominican Republic,LUX,535.0
Dominican Republic,New Zealand,15.0
Dominican Republic,Norway,931.0
Dominican Republic,Poland,56.0
Dominican Republic,Portugal,228.0
Dominican Republic,Slovakia,14.0
Dominican Republic,Slovenia,170.0
Dominican Republic,Spain,177294.0
Dominican Republic,Sweden,845.0
Dominican Republic,Switzerland,11638.887931071105
Dominican Republic,United States,1185367.0
Ecuador,Australia,2444.0
Ecuador,Bulgaria,28.0
Ecuador,Canada,18030.0
Ecuador,Colombia,11549.0
Ecuador,Czech Republic,149.0
Ecuador,Denmark,596.0
Ecuador,Estonia,35.0
Ecuador,France,6571.908172130585
Ecuador,Greece,91.0
Ecuador,Hungary,286.0
Ecuador,Italy,76177.0
Ecuador,LUX,236.0
Ecuador,Latvia,3.0
Ecuador,New Zealand,114.0
Ecuador,Norway,829.0
Ecuador,Poland,175.0
Ecuador,Portugal,576.0
Ecuador,Slovakia,36.0
Ecuador,Slovenia,14.0
Ecuador,Spain,408077.0
Ecuador,Sweden,2550.0
Ecuador,Switzerland,7798.6490116119385
Ecuador,United States,457678.0
Egypt,Australia,40141.0
Egypt,Bulgaria,201.0
Egypt,Canada,71825.0
Egypt,Colombia,109.0
Egypt,Czech Republic,1058.0
Egypt,Denmark,1805.0
Egypt,Estonia,218.0
Egypt,France,32136.7760515213
Egypt,Greece,24463.0
Egypt,Hungary,1803.0
Egypt,Italy,122597.0
Egypt,LUX,406.0
Egypt,Latvia,81.0
Egypt,Lithuania,86.0
Egypt,New Zealand,1416.0
Egypt,Norway,1286.0
Egypt,Poland,2481.0
Egypt,Portugal,292.0
Egypt,Slovakia,166.0
Egypt,Slovenia,155.0
Egypt,Spain,5335.0
Egypt,Sweden,7865.0
Egypt,Switzerland,5836.115005493164
Egypt,Turkey,28736.0
Egypt,United States,208241.0
El Salvador,Australia,10040.0
El Salvador,Bulgaria,6.0
El Salvador,Canada,50635.0
El Salvador,Colombia,608.0
El Salvador,Czech Republic,39.0
El Salvador,Denmark,71.0
El Salvador,Estonia,11.0
El Salvador,France,1755.050124168396
El Salvador,Greece,92.0
El Salvador,Hungary,20.0
El Salvador,Italy,19437.0
El Salvador,LUX,38.0
El Salvador,Latvia,1.0
El Salvador,Mexico,17590.0
El Salvador,New Zealand,27.0
El Salvador,Norway,225.0
El Salvador,Poland,35.0
El Salvador,Portugal,94.0
El Salvador,Slovakia,2.0
El Salvador,Slovenia,1.0
El Salvador,Spain,25071.0
El Salvador,Sweden,3240.0
El Salvador,Switzerland,1035.0849952697754
El Salvador,United States,1360858.0
Eritrea,Australia,5073.0
Eritrea,Bulgaria,4.0
Eritrea,Canada,29535.0
Eritrea,Colombia,1.0
Eritrea,Czech Republic,16.0
Eritrea,Denmark,4615.0
Eritrea,Estonia,4.0
Eritrea,France,4278.586385726929
Eritrea,Greece,311.0
Eritrea,Hungary,36.0
Eritrea,Italy,9462.0
Eritrea,LUX,1105.0
Eritrea,Latvia,11.0
Eritrea,Lithuania,7.0
Eritrea,New Zealand,189.0
Eritrea,Norway,21211.0
Eritrea,Poland,14.0
Eritrea,Portugal,74.0
Eritrea,Slovakia,4.0
Eritrea,Slovenia,79.0
Eritrea,Spain,232.0
Eritrea,Sweden,41765.0
Eritrea,Switzerland,24210.082248441893
Eritrea,Turkey,1057.0
Eritrea,United States,47567.0
Ethiopia,Australia,13128.0
Ethiopia,Bulgaria,51.0
Ethiopia,Canada,41230.0
Ethiopia,Colombia,7.0
Ethiopia,Czech Republic,177.0
Ethiopia,Denmark,1560.0
Ethiopia,Estonia,16.0
Ethiopia,France,10486.364893436432
Ethiopia,Greece,2195.0
Ethiopia,Hungary,184.0
Ethiopia,Italy,24451.0
Ethiopia,LUX,259.0
Ethiopia,Latvia,2.0
Ethiopia,Lithuania,3.0
Ethiopia,New Zealand,1320.0
Ethiopia,Norway,8595.0
Ethiopia,Poland,390.0
Ethiopia,Portugal,46.0
Ethiopia,Slovakia,20.0
Ethiopia,Slovenia,15.0
Ethiopia,Spain,2450.0
Ethiopia,Sweden,20165.0
Ethiopia,Switzerland,7332.769026760945
Ethiopia,Turkey,6552.0
Ethiopia,United States,252172.0
FJI,Australia,67501.0
FJI,Canada,24990.0
FJI,Colombia,1.0
FJI,Czech Republic,10.0
FJI,Denmark,18.0
FJI,Estonia,2.0
FJI,France,260.3443386554718
FJI,Hungary,11.0
FJI,Italy,35.0
FJI,LUX,5.0
FJI,New Zealand,58617.0
FJI,Norway,29.0
FJI,Poland,3.0
FJI,Portugal,6.0
FJI,Spain,54.0
FJI,Sweden,55.0
FJI,Switzerland,49.289000511169434
FJI,United States,47624.0
FYUG,Denmark,954.0
FYUG,LUX,1721.0
FYUG,Switzerland,161500.09207891845
FYUG,United States,37144.0
Finland,Australia,7579.0
Finland,Bulgaria,79.0
Finland,Canada,8735.0
Finland,Colombia,38.0
Finland,Czech Republic,322.0
Finland,Denmark,3837.0
Finland,Estonia,4691.0
Finland,France,3447.301988363266
Finland,Greece,802.0
Finland,Hungary,760.0
Finland,Italy,2398.0
Finland,LUX,1009.0
Finland,Latvia,128.0
Finland,Lithuania,36.0
Finland,New Zealand,576.0
Finland,Norway,6815.0
Finland,Poland,512.0
Finland,Portugal,610.0
Finland,Slovakia,85.0
Finland,Slovenia,43.0
Finland,Spain,10711.0
Finland,Sweden,138970.0
Finland,Switzerland,4922.440062522888
Finland,Turkey,1136.0
Finland,United States,20521.0
France,Australia,36251.0
France,Bulgaria,852.0
France,Canada,168695.0
France,Colombia,2655.0
France,Czech Republic,3904.0
France,Denmark,7594.0
France,Estonia,1213.0
France,France,47921102.316156186
France,Greece,6073.0
France,Hungary,4765.0
France,Italy,112257.0
France,LUX,41647.0
France,Latvia,233.0
France,Lithuania,143.0
France,New Zealand,7623.0
France,Norway,6622.0
France,Poland,18716.0
France,Portugal,96521.0
France,Slovakia,1653.0
France,Slovenia,1074.0
France,Spain,199661.0
France,Sweden,10895.0
France,Switzerland,166340.3832409652
France,Turkey,24396.0
France,United States,227828.0
Georgia,Australia,560.0
Georgia,Bulgaria,346.0
Georgia,Canada,3490.0
Georgia,Colombia,9.0
Georgia,Czech Republic,1537.0
Georgia,Denmark,197.0
Georgia,Estonia,1760.0
Georgia,France,16842.1758415699
Georgia,Greece,73502.0
Georgia,Hungary,615.0
Georgia,Italy,21964.0
Georgia,LUX,138.0
Georgia,Latvia,1241.0
Georgia,Lithuania,693.0
Georgia,New Zealand,27.0
Georgia,Norway,347.0
Georgia,Poland,5218.0
Georgia,Portugal,469.0
Georgia,Slovakia,132.0
Georgia,Slovenia,27.0
Georgia,Spain,17003.0
Georgia,Sweden,1970.0
Georgia,Switzerland,1024.6989936828613
Georgia,Turkey,26376.0
Georgia,United States,25644.0
Germany,Australia,99416.0
Germany,Bulgaria,2984.0
Germany,Canada,149080.0
Germany,Colombia,1909.0
Germany,Czech Republic,9607.0
Germany,Denmark,35003.0
Germany,Estonia,2308.0
Germany,France,181822.92649018764
Germany,Greece,94288.0
Germany,Hungary,26795.0
Germany,Italy,189421.0
Germany,LUX,15587.0
Germany,Latvia,1783.0
Germany,Lithuania,1095.0
Germany,New Zealand,15768.0
Germany,Norway,27177.0
Germany,Poland,59034.0
Germany,Portugal,26478.0
Germany,Slovakia,2348.0
Germany,Slovenia,7282.0
