destination_country,origin_country,gender,age,number
Australia,Puerto Rico,Female,25-64,65.0
Australia,Puerto Rico,Female,65+,3.0
Australia,Puerto Rico,Male,15-24,12.0
Australia,Puerto Rico,Male,25-64,61.0
Australia,Pakistan,Female,15-24,4088.0
Australia,Pakistan,Female,25-64,25954.0
Australia,Pakistan,Female,65+,1354.0
Australia,Pakistan,Male,15-24,7102.0
Australia,Pakistan,Male,25-64,38031.0
Australia,Pakistan,Male,65+,1526.0
Australia,Philippines,Female,15-24,15648.0
Australia,Philippines,Female,25-64,133408.0
Australia,Philippines,Female,65+,22860.0
Australia,Philippines,Male,15-24,15051.0
Australia,Philippines,Male,25-64,80300.0
Australia,Philippines,Male,65+,8343.0
Australia,Poland,Female,15-24,334.0
Australia,Poland,Female,25-64,14688.0
Australia,Poland,Female,65+,11120.0
Australia,Poland,Male,15-24,301.0
Australia,Poland,Male,25-64,10673.0
Australia,Poland,Male,65+,8250.0
Australia,Portugal,Female,15-24,182.0
Australia,Portugal,Female,25-64,5027.0
Australia,Portugal,Female,65+,3133.0
Australia,Portugal,Male,15-24,178.0
Australia,Portugal,Male,25-64,5131.0
Australia,Portugal,Male,65+,3107.0
Australia,Romania,Female,15-24,202.0
Australia,Romania,Female,25-64,5984.0
Australia,Romania,Female,65+,1845.0
Australia,Romania,Male,15-24,235.0
Australia,Romania,Male,25-64,5020.0
Australia,Romania,Male,65+,1743.0
Australia,Senegal,Female,15-24,21.0
Australia,Senegal,Female,25-64,109.0
Australia,Senegal,Female,65+,45.0
Australia,Senegal,Male,15-24,20.0
Australia,Senegal,Male,25-64,143.0
Australia,Senegal,Male,65+,46.0
Australia,El Salvador,Female,15-24,92.0
Australia,El Salvador,Female,25-64,3996.0
Australia,El Salvador,Female,65+,1197.0
Australia,El Salvador,Male,15-24,98.0
Australia,El Salvador,Male,25-64,3655.0
Australia,El Salvador,Male,65+,1002.0
Australia,Somalia,Female,15-24,389.0
Australia,Somalia,Female,25-64,3552.0
Australia,Somalia,Female,65+,249.0
Australia,Somalia,Male,15-24,356.0
Australia,Somalia,Male,25-64,3130.0
Australia,Somalia,Male,65+,196.0
Australia,South Africa,Female,15-24,10036.0
Australia,South Africa,Female,25-64,65504.0
Australia,South Africa,Female,65+,14939.0
Australia,South Africa,Male,15-24,10298.0
Australia,South Africa,Male,25-64,63358.0
Australia,South Africa,Male,65+,13283.0
Australia,Spain,Female,15-24,386.0
Australia,Spain,Female,25-64,5397.0
Australia,Spain,Female,65+,2682.0
Australia,Spain,Male,15-24,352.0
Australia,Spain,Male,25-64,5037.0
Australia,Spain,Male,65+,2593.0
Australia,Sri Lanka,Female,15-24,5070.0
Australia,Sri Lanka,Female,25-64,45339.0
Australia,Sri Lanka,Female,65+,10622.0
Australia,Sri Lanka,Male,15-24,5989.0
Australia,Sri Lanka,Male,25-64,48534.0
Australia,Sri Lanka,Male,65+,10129.0
Australia,Sweden,Female,15-24,460.0
Australia,Sweden,Female,25-64,4724.0
Australia,Sweden,Female,65+,880.0
Australia,Sweden,Male,15-24,284.0
Australia,Sweden,Male,25-64,2793.0
Australia,Sweden,Male,65+,923.0
Australia,Switzerland,Female,15-24,419.0
Australia,Switzerland,Female,25-64,3819.0
Australia,Switzerland,Female,65+,1731.0
Australia,Switzerland,Male,15-24,437.0
Australia,Switzerland,Male,25-64,3507.0
Australia,Switzerland,Male,65+,2215.0
Australia,Syria,Female,15-24,2029.0
Australia,Syria,Female,25-64,9032.0
Australia,Syria,Female,65+,1836.0
Australia,Syria,Male,15-24,2159.0
Australia,Syria,Male,25-64,8363.0
Australia,Syria,Male,65+,1737.0
Australia,Trinidad and Tobago,Female,15-24,37.0
Australia,Trinidad and Tobago,Female,25-64,478.0
Australia,Trinidad and Tobago,Female,65+,273.0
Australia,Trinidad and Tobago,Male,15-24,34.0
Australia,Trinidad and Tobago,Male,25-64,452.0
Australia,Trinidad and Tobago,Male,65+,268.0
Australia,Tunisia,Female,15-24,7.0
Australia,Tunisia,Female,25-64,156.0
Australia,Tunisia,Female,65+,113.0
Australia,Tunisia,Male,15-24,6.0
Australia,Tunisia,Male,25-64,243.0
Australia,Tunisia,Male,65+,118.0
Australia,Thailand,Female,15-24,5391.0
Australia,Thailand,Female,25-64,47179.0
Australia,Thailand,Female,65+,2773.0
Australia,Thailand,Male,15-24,4870.0
Australia,Thailand,Male,25-64,16006.0
Australia,Thailand,Male,65+,738.0
Australia,Turkey,Female,15-24,509.0
Australia,Turkey,Female,25-64,13410.0
Australia,Turkey,Female,65+,4151.0
Australia,Turkey,Male,15-24,634.0
Australia,Turkey,Male,25-64,14919.0
Australia,Turkey,Male,65+,3775.0
Australia,Belarus,Female,15-24,50.0
Australia,Belarus,Female,25-64,895.0
Australia,Belarus,Female,65+,276.0
Australia,Belarus,Male,15-24,47.0
Australia,Belarus,Male,25-64,531.0
Australia,Belarus,Male,65+,200.0
Australia,Georgia,Female,15-24,6.0
Australia,Georgia,Female,25-64,255.0
Australia,Georgia,Female,65+,65.0
Australia,Georgia,Male,15-24,9.0
Australia,Georgia,Male,25-64,165.0
Australia,Georgia,Male,65+,60.0
Australia,Lithuania,Female,15-24,74.0
Australia,Lithuania,Female,25-64,905.0
Australia,Lithuania,Female,65+,622.0
Australia,Lithuania,Male,15-24,39.0
Australia,Lithuania,Male,25-64,462.0
Australia,Lithuania,Male,65+,400.0
Australia,Moldova,Female,15-24,10.0
Australia,Moldova,Female,25-64,528.0
Australia,Moldova,Female,65+,98.0
Australia,Moldova,Male,15-24,15.0
Australia,Moldova,Male,25-64,374.0
Australia,Moldova,Male,65+,75.0
Australia,Russia,Female,15-24,807.0
Australia,Russia,Female,25-64,11174.0
Australia,Russia,Female,65+,2566.0
Australia,Russia,Male,15-24,806.0
Australia,Russia,Male,25-64,5829.0
Australia,Russia,Male,65+,1342.0
Australia,Ukraine,Female,15-24,257.0
Australia,Ukraine,Female,25-64,5499.0
Australia,Ukraine,Female,65+,2362.0
Australia,Ukraine,Male,15-24,261.0
Australia,Ukraine,Male,25-64,3551.0
Australia,Ukraine,Male,65+,1557.0
Australia,Uzbekistan,Female,15-24,112.0
Australia,Uzbekistan,Female,25-64,811.0
Australia,Uzbekistan,Female,65+,132.0
Australia,Uzbekistan,Male,15-24,105.0
Australia,Uzbekistan,Male,25-64,570.0
Australia,Uzbekistan,Male,65+,92.0
Australia,United States,Female,15-24,5841.0
Australia,United States,Female,25-64,32742.0
Australia,United States,Female,65+,7626.0
Australia,United States,Male,15-24,5569.0
Australia,United States,Male,25-64,28356.0
Australia,United States,Male,65+,7815.0
Australia,Venezuela,Female,15-24,235.0
Australia,Venezuela,Female,25-64,2829.0
Australia,Venezuela,Female,65+,247.0
Australia,Venezuela,Male,15-24,233.0
Australia,Venezuela,Male,25-64,2630.0
Australia,Venezuela,Male,65+,157.0
Australia,Vietnam,Female,15-24,10956.0
Australia,Vietnam,Female,25-64,108155.0
Australia,Vietnam,Female,65+,22469.0
Australia,Vietnam,Male,15-24,8753.0
Australia,Vietnam,Male,25-64,80950.0
Australia,Vietnam,Male,65+,18623.0
Bulgaria,Unknown,Female,15-24,11.0
Bulgaria,Unknown,Female,25-64,130.0
Bulgaria,Unknown,Female,65+,930.0
Bulgaria,Unknown,Male,15-24,6.0
Bulgaria,Unknown,Male,25-64,98.0
Bulgaria,Unknown,Male,65+,386.0
Bulgaria,Angola,Female,15-24,3.0
Bulgaria,Angola,Female,25-64,4.0
Bulgaria,Angola,Male,15-24,22.0
Bulgaria,Angola,Male,25-64,19.0
Bulgaria,Albania,Female,15-24,64.0
Bulgaria,Albania,Female,25-64,86.0
Bulgaria,Albania,Female,65+,14.0
Bulgaria,Albania,Male,15-24,72.0
Bulgaria,Albania,Male,25-64,183.0
Bulgaria,Albania,Male,65+,22.0
Bulgaria,Afghanistan,Female,15-24,12.0
Bulgaria,Afghanistan,Female,25-64,58.0
Bulgaria,Afghanistan,Female,65+,5.0
Bulgaria,Afghanistan,Male,15-24,348.0
Bulgaria,Afghanistan,Male,25-64,262.0
Bulgaria,Afghanistan,Male,65+,8.0
Bulgaria,Argentina,Female,15-24,2.0
Bulgaria,Argentina,Female,25-64,20.0
Bulgaria,Argentina,Female,65+,25.0
Bulgaria,Argentina,Male,15-24,2.0
Bulgaria,Argentina,Male,25-64,39.0
Bulgaria,Argentina,Male,65+,10.0
Bulgaria,Australia,Female,15-24,6.0
Bulgaria,Australia,Female,25-64,26.0
Bulgaria,Australia,Female,65+,10.0
Bulgaria,Australia,Male,15-24,17.0
Bulgaria,Australia,Male,25-64,50.0
Bulgaria,Australia,Male,65+,5.0
Bulgaria,Austria,Female,15-24,37.0
Bulgaria,Austria,Female,25-64,50.0
Bulgaria,Austria,Female,65+,43.0
Bulgaria,Austria,Male,15-24,47.0
Bulgaria,Austria,Male,25-64,100.0
Bulgaria,Austria,Male,65+,34.0
Bulgaria,Bulgaria,Female,15-24,261337.0
Bulgaria,Bulgaria,Female,25-64,1713365.0
Bulgaria,Bulgaria,Female,65+,908268.0
Bulgaria,Bulgaria,Male,15-24,276170.0
Bulgaria,Bulgaria,Male,25-64,1740697.0
Bulgaria,Bulgaria,Male,65+,599818.0
Bulgaria,Bolivia,Female,25-64,3.0
Bulgaria,Bolivia,Male,15-24,1.0
Bulgaria,Bolivia,Male,25-64,2.0
Bulgaria,Bangladesh,Female,15-24,1.0
Bulgaria,Bangladesh,Female,25-64,19.0
Bulgaria,Bangladesh,Male,15-24,19.0
Bulgaria,Bangladesh,Male,25-64,45.0
Bulgaria,Bangladesh,Male,65+,5.0
Bulgaria,Belgium,Female,15-24,69.0
Bulgaria,Belgium,Female,25-64,66.0
Bulgaria,Belgium,Female,65+,16.0
Bulgaria,Belgium,Male,15-24,67.0
Bulgaria,Belgium,Male,25-64,239.0
Bulgaria,Belgium,Male,65+,46.0
Bulgaria,Brazil,Female,15-24,9.0
Bulgaria,Brazil,Female,25-64,71.0
Bulgaria,Brazil,Female,65+,4.0
Bulgaria,Brazil,Male,15-24,6.0
Bulgaria,Brazil,Male,25-64,43.0
Bulgaria,Chile,Female,15-24,2.0
Bulgaria,Chile,Female,25-64,7.0
Bulgaria,Chile,Male,15-24,2.0
Bulgaria,Chile,Male,25-64,18.0
Bulgaria,Chile,Male,65+,4.0
Bulgaria,Côte d'Ivoire,Female,25-64,2.0
Bulgaria,Côte d'Ivoire,Male,25-64,10.0
Bulgaria,Cameroon,Female,25-64,6.0
Bulgaria,Cameroon,Male,15-24,1.0
Bulgaria,Cameroon,Male,25-64,12.0
Bulgaria,Cameroon,Male,65+,1.0
Bulgaria,Democratic Republic of the Congo,Female,25-64,3.0
Bulgaria,Democratic Republic of the Congo,Female,65+,1.0
Bulgaria,Democratic Republic of the Congo,Male,25-64,6.0
