city,latitude,longitude,country,population
Cranston,41.7658,-71.4858,United States,82691
Largo,27.9088,-82.7712,United States,82541
Miami Beach,25.8171,-80.1396,United States,82400
Alhambra,34.084,-118.1355,United States,82295
Johns Creek,34.0333,-84.2027,United States,82230
Mountain View,37.4001,-122.0796,United States,82132
Salisbury,38.3756,-75.5865,United States,81921
Morgantown,39.6383,-79.9464,United States,81912
Silver Spring,39.0028,-77.0207,United States,81808
Layton,41.077,-111.962,United States,81726
Springfield,39.93,-83.7959,United States,81620
Lakewood,33.8471,-118.1222,United States,81499
Florence,34.8303,-87.6655,United States,81268
Folsom,38.6668,-121.1422,United States,81077
Madera,36.963,-120.0778,United States,80937
New Rochelle,40.9304,-73.7836,United States,80828
Parma,41.3843,-81.7286,United States,80587
Terre Haute,39.466,-87.3751,United States,80567
Somerville,42.3908,-71.1014,United States,80464
Flagstaff,35.1872,-111.6194,United States,80167
Boynton Beach,26.5281,-80.0811,United States,80068
Homestead,25.4665,-80.4472,United States,79996
Newark,40.0706,-82.425,United States,79959
Plymouth,45.0225,-93.4617,United States,79918
Anniston,33.6712,-85.8135,United States,79717
Texarkana,33.45,-94.0847,United States,79570
Tustin,33.7311,-117.8107,United States,79514
Pharr,26.1685,-98.1904,United States,79434
Port Huron,42.9821,-82.4388,United States,79363
Turlock,37.5053,-120.8588,United States,79301
Rancho Cordova,38.5737,-121.2527,United States,79128
The Villages,28.9034,-81.9887,United States,79108
Milpitas,37.4336,-121.8921,United States,79092
Perris,33.7898,-117.2233,United States,78881
Upland,34.1178,-117.6604,United States,78847
Alton,38.9037,-90.152,United States,78729
Pleasanton,37.6663,-121.8805,United States,78691
Kendall,25.6697,-80.3556,United States,78402
Jonesboro,35.8212,-90.6791,United States,78379
